scale,source,rule_id,anchor_p,seed_q0,true_q_for_audit_only,audit_true_q_source,candidate_bound,trace_window,visible_candidate_count,selected_q,selected_defect,true_q_defect,selected_delta_from_true,failure_mode,pure_pgs_eligible_input
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997831,999999997849,999999997907,artifact,128,64,9,999999997861,0,0,-46,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997831,999999997849,999999997907,artifact,128,64,9,999999997861,0,1,-46,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997831,999999997849,999999997907,artifact,128,64,9,999999997861,0,0,-46,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997679,999999997699,999999997721,artifact,128,64,6,999999997721,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997679,999999997699,999999997721,artifact,128,64,6,999999997721,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997679,999999997699,999999997721,artifact,128,64,6,999999997721,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997589,999999997597,999999997603,artifact,128,64,4,999999997603,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997589,999999997597,999999997603,artifact,128,64,4,999999997621,0,1,18,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997589,999999997597,999999997603,artifact,128,64,4,999999997621,0,1,18,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997517,999999997553,999999997589,artifact,128,64,5,999999997567,0,0,-22,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997517,999999997553,999999997589,artifact,128,64,5,999999997589,0,0,0,correct,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997517,999999997553,999999997589,artifact,128,64,5,999999997567,0,0,-22,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997459,999999997463,999999997517,artifact,128,64,6,999999997487,0,0,-30,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997459,999999997463,999999997517,artifact,128,64,6,999999997487,1,1,-30,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997459,999999997463,999999997517,artifact,128,64,6,999999997501,0,0,-16,selected_too_early,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997433,999999997439,999999997459,artifact,128,64,8,999999997453,0,0,-6,selected_too_early,True
