anchor_p,actual_q,actual_offset,candidate_count,structural_survivor_count,structural_survivors,rule_x_survivor_count,rule_x_survivors,rule_x_true_rejected,survivor_lock_survivor_count,survivor_lock_survivors,survivor_lock_true_rejected,label_active_survivor_count,label_active_survivors,label_resolved_survivor_count,label_resolved_survivors,label_unresolved_survivor_count,label_unresolved_survivors,label_lock_true_rejected,label_lock_unique_resolved,label_lock_unique_resolved_match,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,label_lock_carrier,label_lock_carrier_offset,label_lock_carrier_d,label_lock_threat,label_lock_threat_offset,label_lock_threat_d,exact_survivor_count,exact_survivors,exact_unique_match
167,173,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",False,23,"[6, 12, 14, 24, 26, 30, 32, 44, 56, 60, 62, 66, 72, 74, 84, 90, 96, 102, 104, 110, 114, 116, 126]",1,[6],22,"[12, 14, 24, 26, 30, 32, 44, 56, 60, 62, 66, 72, 74, 84, 90, 96, 102, 104, 110, 114, 116, 126]",False,False,False,168,1,16,169,2,3,169,2,3,,,,169,2,3,,,,1,[6],True
173,179,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,31,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116]",False,21,"[6, 8, 18, 20, 24, 26, 38, 50, 54, 56, 60, 66, 68, 78, 84, 90, 96, 98, 104, 108, 110]",1,[6],20,"[8, 18, 20, 24, 26, 38, 50, 54, 56, 60, 66, 68, 78, 84, 90, 96, 98, 104, 108, 110]",False,False,False,174,1,8,175,2,6,177,4,4,289,116,3,177,4,4,289,116,3,1,[6],True
179,181,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,180,1,18,182,3,8,180,1,18,182,3,8,180,1,18,182,3,8,1,[2],True
181,191,10,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,29,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108]",False,19,"[10, 12, 16, 18, 30, 42, 46, 48, 52, 58, 60, 70, 76, 82, 88, 90, 96, 100, 102]",1,[10],18,"[12, 16, 18, 30, 42, 46, 48, 52, 58, 60, 70, 76, 82, 88, 90, 96, 100, 102]",False,False,False,182,1,8,183,2,4,183,2,4,289,108,3,183,2,4,289,108,3,1,[10],True
191,193,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,192,1,14,194,3,4,192,1,14,194,3,4,192,1,14,194,3,4,1,[2],True
193,197,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",26,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96]",False,26,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96]",False,17,"[4, 6, 18, 30, 34, 36, 40, 46, 48, 58, 64, 70, 76, 78, 84, 88, 90]",1,[4],16,"[6, 18, 30, 34, 36, 40, 46, 48, 58, 64, 70, 76, 78, 84, 88, 90]",False,False,False,194,1,4,289,96,3,194,1,4,289,96,3,194,1,4,289,96,3,1,[4],True
197,199,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,198,1,12,201,4,4,198,1,12,201,4,4,198,1,12,201,4,4,1,[2],True
199,211,12,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,24,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90]",False,15,"[12, 24, 28, 30, 34, 40, 42, 52, 58, 64, 70, 72, 78, 82, 84]",1,[12],14,"[24, 28, 30, 34, 40, 42, 52, 58, 64, 70, 72, 78, 82, 84]",False,False,False,200,1,12,201,2,4,201,2,4,289,90,3,201,2,4,289,90,3,1,[12],True
211,223,12,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,21,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78]",False,14,"[12, 16, 18, 22, 28, 30, 40, 46, 52, 58, 60, 66, 70, 72]",1,[12],13,"[16, 18, 22, 28, 30, 40, 46, 52, 58, 60, 66, 70, 72]",False,False,False,212,1,6,213,2,4,213,2,4,289,78,3,213,2,4,289,78,3,1,[12],True
223,227,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,18,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66]",False,13,"[4, 6, 10, 16, 18, 28, 34, 40, 46, 48, 54, 58, 60]",1,[4],12,"[6, 10, 16, 18, 28, 34, 40, 46, 48, 54, 58, 60]",False,False,False,224,1,12,225,2,9,226,3,4,289,66,3,226,3,4,289,66,3,1,[4],True
227,229,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,1,[2],False,1,[2],1,[2],0,[],False,True,True,228,1,12,230,3,8,228,1,12,230,3,8,228,1,12,230,3,8,1,[2],True
229,233,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",1,[4],False,1,[4],False,1,[4],1,[4],0,[],False,True,True,230,1,8,235,6,4,230,1,8,235,6,4,230,1,8,235,6,4,1,[4],True
233,239,6,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,15,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56]",False,10,"[6, 8, 18, 24, 30, 36, 38, 44, 48, 50]",1,[6],9,"[8, 18, 24, 30, 36, 38, 44, 48, 50]",False,False,False,234,1,12,235,2,4,235,2,4,289,56,3,235,2,4,289,56,3,1,[6],True
