anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
100000000000008181,22,272,271,1,1,0,True,True,False,False
100000000000008203,120,272,254,18,1,17,False,False,False,False
100000000000008323,80,272,249,23,1,22,False,False,False,False
100000000000008403,28,273,248,25,1,24,False,False,False,False
100000000000008431,12,273,249,24,1,23,False,False,False,False
100000000000008443,194,272,249,23,1,22,False,False,False,False
100000000000008637,46,273,245,28,1,27,False,False,False,False
100000000000008683,24,272,243,29,1,28,False,False,False,False
100000000000008707,42,273,244,29,1,28,False,False,False,False
100000000000008749,18,273,272,1,1,0,True,True,False,False
100000000000008767,24,273,243,30,1,29,False,False,False,False
100000000000008791,86,273,242,31,1,30,False,False,False,False
100000000000008877,66,273,240,33,1,32,False,False,False,False
100000000000008943,48,273,240,33,1,32,False,False,False,False
100000000000008991,12,272,238,34,1,33,False,False,False,False
100000000000009003,34,273,239,34,1,33,False,False,False,False
100000000000009037,74,273,238,35,1,34,False,False,False,False
100000000000009111,16,272,234,38,1,37,False,False,False,False
100000000000009127,32,273,235,38,1,37,False,False,False,False
100000000000009159,94,273,236,37,1,36,False,False,False,False
100000000000009253,14,272,271,1,1,0,True,True,False,False
100000000000009267,6,273,237,36,1,35,False,False,False,False
100000000000009273,30,273,238,35,1,34,False,False,False,False
100000000000009303,28,273,239,34,1,33,False,False,False,False
100000000000009331,8,273,240,33,1,32,False,False,False,False
100000000000009339,54,273,241,32,1,31,False,False,False,False
100000000000009393,18,273,240,33,1,32,False,False,False,False
100000000000009411,16,272,240,32,1,31,False,False,False,False
100000000000009427,54,273,242,31,1,30,False,False,False,False
100000000000009481,50,273,241,32,1,31,False,False,False,False
100000000000009531,16,272,240,32,1,31,False,False,False,False
100000000000009547,26,273,240,33,1,32,False,False,False,False
100000000000009573,34,273,239,34,1,33,False,False,False,False
100000000000009607,50,273,239,34,1,33,False,False,False,False
100000000000009657,16,273,240,33,1,32,False,False,False,False
100000000000009673,18,272,240,32,1,31,False,False,False,False
100000000000009691,32,273,240,33,1,32,False,False,False,False
100000000000009723,18,273,239,34,1,33,False,False,False,False
100000000000009741,16,272,239,33,1,32,False,False,False,False
100000000000009757,6,273,272,1,1,0,True,True,False,False
