scale,anchor_p,seed_q0,recovered_q_for_audit_only,true_margin_q_minus_q0,visible_open_count_after_seed,true_visible_open_ordinal_of_q,threat_witness_bound,threat_n,threat_witness,threat_delta_from_seed,selected_candidate_n,predicted_margin_qhat_minus_q0,predicted_visible_open_ordinal,margin_error_qhat_minus_q,failure_mode
1000000000000000,999999999999283,999999999999307,999999999999353,46,7,3,97,999999999999317,31,10,999999999999311,4,1,-42,selected_too_early
1000000000000000,999999999999199,999999999999271,999999999999283,12,4,2,97,999999999999287,7,16,999999999999283,12,2,0,correct
1000000000000000,999999999999163,999999999999191,999999999999199,8,4,1,97,999999999999193,31,2,,,,,no_selection
1000000000000000,999999999999109,999999999999113,999999999999163,50,5,3,97,999999999999119,7,6,,,,,no_selection
1000000000000000,999999999999071,999999999999079,999999999999089,10,9,1,97,999999999999091,7,12,999999999999089,10,1,0,correct
1000000000000000,999999999998939,999999999998953,999999999999043,90,2,2,97,999999999998963,37,10,,,,,no_selection
1000000000000000,999999999998803,999999999998807,999999999998861,54,2,1,97,999999999998813,11,6,,,,,no_selection
1000000000000000,999999999998761,999999999998771,999999999998803,32,4,2,97,999999999998779,13,8,999999999998773,2,1,-30,selected_too_early
1000000000000000,999999999998743,999999999998749,999999999998761,12,6,1,97,999999999998753,13,4,,,,,no_selection
1000000000000000,999999999998711,999999999998723,999999999998729,6,8,1,97,999999999998737,43,14,999999999998729,6,1,0,correct
1000000000000000,999999999998627,999999999998641,999999999998711,70,8,4,97,999999999998647,29,6,,,,,no_selection
1000000000000000,999999999998563,999999999998579,999999999998581,2,9,1,97,999999999998587,7,8,999999999998581,2,1,0,correct
1000000000000000,999999999998533,999999999998537,999999999998563,26,9,1,97,999999999998543,17,6,,,,,no_selection
1000000000000000,999999999998437,999999999998459,999999999998533,74,5,3,97,999999999998461,7,2,,,,,no_selection
1000000000000000,999999999998411,999999999998423,999999999998437,14,6,1,97,999999999998431,23,8,,,,,no_selection
1000000000000000,999999999998353,999999999998369,999999999998383,14,5,1,97,999999999998371,37,2,,,,,no_selection
1000000000000000,999999999998267,999999999998269,999999999998353,84,6,4,97,999999999998279,7,10,999999999998273,4,1,-80,selected_too_early
1000000000000000,999999999998231,999999999998243,999999999998267,24,6,1,97,999999999998251,7,8,,,,,no_selection
1000000000000000,999999999998161,999999999998177,999999999998231,54,5,1,97,999999999998183,29,6,,,,,no_selection
1000000000000000,999999999998141,999999999998143,999999999998161,18,7,2,97,999999999998149,19,6,999999999998147,4,1,-14,selected_too_early
1000000000000000,999999999998053,999999999998089,999999999998141,52,7,3,97,999999999998101,17,12,,,,,no_selection
1000000000000000,999999999998039,999999999998047,999999999998053,6,8,1,97,999999999998051,13,4,,,,,no_selection
1000000000000000,999999999998003,999999999998011,999999999998039,28,5,1,97,999999999998017,23,6,,,,,no_selection
1000000000000000,999999999997969,999999999997981,999999999997993,12,7,1,97,999999999997997,19,16,999999999997993,12,1,0,correct
1000000000000000,999999999997841,999999999997919,999999999997967,48,3,2,97,999999999997921,13,2,,,,,no_selection
1000000000000000,999999999997771,999999999997781,999999999997811,30,4,2,97,999999999997787,23,6,999999999997783,2,1,-28,selected_too_early
1000000000000000,999999999997729,999999999997753,999999999997771,18,6,1,97,999999999997757,11,4,,,,,no_selection
1000000000000000,999999999997699,999999999997711,999999999997729,18,6,1,97,999999999997727,17,16,,,,,no_selection
1000000000000000,999999999997613,999999999997667,999999999997697,30,5,2,97,999999999997669,11,2,,,,,no_selection
1000000000000000,999999999997573,999999999997577,999999999997613,36,5,1,97,999999999997579,7,2,,,,,no_selection
1000000000000000,999999999997517,999999999997543,999999999997573,30,4,2,97,999999999997549,71,6,,,,,no_selection
1000000000000000,999999999997337,999999999997367,999999999997463,96,5,5,97,999999999997369,7,2,,,,,no_selection
1000000000000000,999999999997307,999999999997321,999999999997337,16,5,1,97,999999999997327,7,6,,,,,no_selection
1000000000000000,999999999997099,999999999997121,999999999997153,32,6,3,97,999999999997123,19,2,,,,,no_selection
1000000000000000,999999999997043,999999999997049,999999999997087,38,9,2,97,999999999997051,23,2,,,,,no_selection
1000000000000000,999999999997003,999999999997007,999999999997043,36,8,2,97,999999999997009,11,2,,,,,no_selection
1000000000000000,999999999996869,999999999996871,999999999996983,112,4,4,97,999999999996877,11,6,,,,,no_selection
1000000000000000,999999999996493,999999999996533,999999999996583,50,6,4,97,999999999996547,11,14,999999999996539,6,1,-44,selected_too_early
1000000000000000,999999999996313,999999999996359,999999999996409,50,5,3,97,999999999996361,7,2,,,,,no_selection
1000000000000000,999999999996293,999999999996307,999999999996311,4,8,1,97,999999999996319,7,12,999999999996313,6,2,2,selected_too_late
1000000000000000,999999999996181,999999999996199,999999999996253,54,3,1,97,999999999996211,19,12,,,,,no_selection
1000000000000000,999999999996149,999999999996161,999999999996181,20,3,1,97,999999999996163,17,2,,,,,no_selection
1000000000000000,999999999996083,999999999996089,999999999996149,60,8,5,97,999999999996097,19,8,999999999996091,2,1,-58,selected_too_early
1000000000000000,999999999995879,999999999995897,999999999995911,14,5,2,97,999999999995899,7,2,,,,,no_selection
1000000000000000,999999999995851,999999999995861,999999999995879,18,6,1,97,999999999995863,29,2,,,,,no_selection
1000000000000000,999999999995743,999999999995761,999999999995797,36,5,2,97,999999999995773,7,12,,,,,no_selection
1000000000000000,999999999995629,999999999995651,999999999995669,18,4,1,97,999999999995653,17,2,,,,,no_selection
1000000000000000,999999999995587,999999999995593,999999999995627,34,7,3,97,999999999995597,31,4,,,,,no_selection
1000000000000000,999999999995539,999999999995543,999999999995567,24,9,1,97,999999999995549,7,6,,,,,no_selection
