left_prime,right_prime,left_residue_mod30,right_residue_mod30,preceding_type_key,preceding_family,preceding_gap_width,following_type_key,following_family,following_gap_width,same_outer_family
322247,322249,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
322349,322351,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a6_odd_semiprime,odd_semiprime,46,True
322571,322573,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
322589,322591,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a6_odd_semiprime,odd_semiprime,16,False
322631,322633,11,13,o4_d6_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,16,False
322769,322771,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a3_even_semiprime,even_semiprime,10,False
322781,322783,11,13,o6_d4_a3_even_semiprime,even_semiprime,10,o4_d4_a4_odd_semiprime,odd_semiprime,24,False
322919,322921,29,1,o2_d4_a5_even_semiprime,even_semiprime,18,o6_d4_a1_even_semiprime,even_semiprime,18,True
322997,322999,17,19,o4_d4_a10_odd_semiprime,odd_semiprime,28,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
323249,323251,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a3_even_semiprime,even_semiprime,22,False
323339,323341,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d4_a6_odd_semiprime,odd_semiprime,18,True
323369,323371,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,6,True
323381,323383,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,30,False
323441,323443,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,22,o4_d4_a4_odd_semiprime,odd_semiprime,24,True
323471,323473,11,13,o4_d12_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a8_odd_semiprime,odd_semiprime,34,False
323507,323509,17,19,o4_d4_a8_odd_semiprime,odd_semiprime,34,o4_d4_a2_odd_semiprime,odd_semiprime,28,True
323579,323581,29,1,o2_d4_a2_odd_semiprime,odd_semiprime,12,o6_d4_a4_odd_semiprime,odd_semiprime,10,True
323597,323599,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a2_odd_semiprime,odd_semiprime,24,True
323801,323803,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,16,False
324209,324211,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,False
324299,324301,29,1,o6_d8_a1_higher_divisor_even,higher_divisor_even,6,o6_d4_a12_odd_semiprime,odd_semiprime,18,False
324437,324439,17,19,o2_d6_a2_higher_divisor_odd,higher_divisor_odd,6,o4_d4_a3_even_semiprime,even_semiprime,10,False
324449,324451,29,1,o4_d4_a3_even_semiprime,even_semiprime,10,o6_d4_a4_odd_semiprime,odd_semiprime,18,False
324587,324589,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,30,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,False
324617,324619,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,24,o4_d4_a4_odd_semiprime,odd_semiprime,18,True
324809,324811,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,28,True
324869,324871,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,22,o6_d4_a6_odd_semiprime,odd_semiprime,18,True
324977,324979,17,19,o6_d4_a6_odd_semiprime,odd_semiprime,24,o4_d6_a2_higher_divisor_odd,higher_divisor_odd,4,False
325019,325021,29,1,o4_d4_a6_odd_semiprime,odd_semiprime,10,o6_d6_a4_higher_divisor_odd,higher_divisor_odd,6,False
325079,325081,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d4_a6_odd_semiprime,odd_semiprime,12,True
325187,325189,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a10_odd_semiprime,odd_semiprime,12,True
325217,325219,17,19,o6_d4_a1_even_semiprime,even_semiprime,16,o4_d4_a3_even_semiprime,even_semiprime,10,True
325229,325231,29,1,o4_d4_a3_even_semiprime,even_semiprime,10,o6_d4_a6_odd_semiprime,odd_semiprime,18,False
325307,325309,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
325541,325543,11,13,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a4_odd_semiprime,odd_semiprime,28,False
325691,325693,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a1_even_semiprime,even_semiprime,4,False
325751,325753,11,13,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a8_odd_semiprime,odd_semiprime,16,False
325781,325783,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a6_odd_semiprime,odd_semiprime,24,False
325889,325891,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a2_odd_semiprime,odd_semiprime,10,False
326099,326101,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,12,o6_d4_a6_odd_semiprime,odd_semiprime,12,True
326141,326143,11,13,o4_d4_a2_odd_semiprime,odd_semiprime,22,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
326147,326149,17,19,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,o4_d16_a3_higher_divisor_even,higher_divisor_even,4,True
326351,326353,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,28,o4_d4_a4_odd_semiprime,odd_semiprime,16,True
326537,326539,17,19,o4_d4_a4_odd_semiprime,odd_semiprime,34,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
326561,326563,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
326609,326611,29,1,o2_d4_a6_odd_semiprime,odd_semiprime,12,o6_d4_a3_even_semiprime,even_semiprime,6,False
326657,326659,17,19,o6_d4_a2_odd_semiprime,odd_semiprime,24,o4_d4_a2_odd_semiprime,odd_semiprime,4,True
326867,326869,17,19,o4_d4_a3_even_semiprime,even_semiprime,4,o4_d6_a2_higher_divisor_odd,higher_divisor_odd,4,False
326939,326941,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,16,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,False
326999,327001,29,1,o6_d6_a3_higher_divisor_even,higher_divisor_even,6,o6_d4_a2_odd_semiprime,odd_semiprime,6,False
327209,327211,29,1,o6_d8_a2_higher_divisor_odd,higher_divisor_odd,6,o6_d4_a8_odd_semiprime,odd_semiprime,36,False
327317,327319,17,19,o2_d8_a3_higher_divisor_even,higher_divisor_even,6,o4_d4_a3_even_semiprime,even_semiprime,12,False
327407,327409,17,19,o2_d4_a2_odd_semiprime,odd_semiprime,6,o4_d4_a4_odd_semiprime,odd_semiprime,10,True
327419,327421,29,1,o4_d4_a4_odd_semiprime,odd_semiprime,10,o6_d4_a2_odd_semiprime,odd_semiprime,12,True
327491,327493,11,13,o2_d4_a3_even_semiprime,even_semiprime,12,o4_d8_a1_higher_divisor_even,higher_divisor_even,6,False
327557,327559,17,19,o4_d8_a1_higher_divisor_even,higher_divisor_even,4,o4_d4_a3_even_semiprime,even_semiprime,12,False
327581,327583,11,13,o6_d4_a6_odd_semiprime,odd_semiprime,10,o4_d4_a6_odd_semiprime,odd_semiprime,16,True
327737,327739,17,19,o6_d4_a1_even_semiprime,even_semiprime,16,o4_d4_a3_even_semiprime,even_semiprime,18,True
