p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
2441,5958481,5958473,8,6,60,122
2447,5987809,5987803,6,4,60,122
2459,6046681,6046669,12,4,60,122
2467,6086089,6086063,26,6,60,123
2473,6115729,6115717,12,4,60,123
2477,6135529,6135523,6,4,60,123
2503,6265009,6265001,8,2,44,123
2521,6355441,6355381,60,6,60,123
2531,6405961,6405943,18,4,60,123
2539,6446521,6446513,8,6,60,123
2543,6466849,6466847,2,2,44,123
2549,6497401,6497399,2,2,44,124
2551,6507601,6507587,14,2,44,124
2557,6538249,6538219,30,4,60,124
2579,6651241,6651223,18,4,60,124
2591,6713281,6713279,2,2,44,124
2593,6723649,6723643,6,4,60,124
2609,6806881,6806837,44,2,44,124
2617,6848689,6848659,30,4,60,124
2621,6869641,6869633,8,6,60,124
2633,6932689,6932669,20,2,44,125
2647,7006609,7006607,2,2,44,125
2657,7059649,7059631,18,6,60,125
2659,7070281,7070267,14,2,44,125
2663,7091569,7091549,20,2,44,125
2671,7134241,7134233,8,6,60,125
2677,7166329,7166321,8,2,44,125
2683,7198489,7198483,6,4,60,125
2687,7219969,7219963,6,4,60,125
2689,7230721,7230709,12,4,60,125
2693,7252249,7252237,12,4,60,125
2699,7284601,7284569,32,2,44,125
2707,7327849,7327847,2,2,44,125
2711,7349521,7349513,8,6,60,125
2713,7360369,7360363,6,4,60,126
2719,7392961,7392953,8,6,60,126
2729,7447441,7447439,2,2,44,126
2731,7458361,7458313,48,4,60,126
2741,7513081,7513073,8,6,60,126
2749,7557001,7556999,2,2,44,126
2753,7579009,7579003,6,4,60,126
2767,7656289,7656281,8,2,44,126
2777,7711729,7711723,6,4,60,126
2789,7778521,7778509,12,4,60,126
2791,7789681,7789669,12,4,60,126
2797,7823209,7823203,6,4,60,126
2801,7845601,7845587,14,2,44,127
2803,7856809,7856803,6,4,60,127
2819,7946761,7946747,14,2,44,127
2833,8025889,8025883,6,4,60,127
2837,8048569,8048567,2,2,44,127
2843,8082649,8082631,18,6,60,127
2851,8128201,8128187,14,2,44,127
2857,8162449,8162437,12,4,60,127
2861,8185321,8185301,20,2,44,127
2879,8288641,8288633,8,6,60,127
2887,8334769,8334757,12,4,60,127
2897,8392609,8392607,2,2,44,128
2903,8427409,8427403,6,4,60,128
2909,8462281,8462263,18,4,60,128
2917,8508889,8508881,8,2,44,128
2927,8567329,8567311,18,6,60,128
2939,8637721,8637701,20,2,44,128
2953,8720209,8720191,18,6,60,128
2957,8743849,8743843,6,4,60,128
2963,8779369,8779321,48,6,60,128
2969,8814961,8814941,20,2,44,128
2971,8826841,8826833,8,6,60,128
2999,8994001,8993981,20,2,44,129
3001,9006001,9005989,12,4,60,129
3011,9066121,9066091,30,6,60,129
3019,9114361,9114353,8,6,60,129
3023,9138529,9138527,2,2,44,129
