p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
87509,7657825081,7657825031,50,2,44,259
87719,7694622961,7694622911,50,2,44,260
87931,7731860761,7731860693,68,6,60,260
87959,7736785681,7736785607,74,2,44,260
88007,7745232049,7745231947,102,4,60,260
88379,7810847641,7810847543,98,6,60,260
88427,7819334329,7819334279,50,2,44,260
88721,7871415841,7871415767,74,2,44,260
88861,7896277321,7896277271,50,2,44,260
88873,7898410129,7898410057,72,4,60,260
88951,7912280401,7912280287,114,4,60,260
89119,7942196161,7942196069,92,2,44,260
89153,7948257409,7948257347,62,2,44,260
89563,8021530969,8021530919,50,2,44,261
89597,8027622409,8027622359,50,2,44,261
89659,8038736281,8038736207,74,2,44,261
89779,8060268841,8060268791,50,2,44,261
90017,8103060289,8103060211,78,6,60,261
90053,8109542809,8109542723,86,6,60,261
90271,8148853441,8148853369,72,4,60,261
90439,8179212721,8179212611,110,2,44,261
90599,8208178801,8208178739,62,2,44,261
90833,8250633889,8250633803,86,6,60,261
90907,8264082649,8264082587,62,2,44,261
90911,8264809921,8264809849,72,4,60,261
91081,8295748561,8295748511,50,2,44,261
91129,8304494641,8304494591,50,2,44,261
91151,8308504801,8308504691,110,2,44,261
91237,8324190169,8324190103,66,4,60,261
91331,8341351561,8341351489,72,4,60,261
91369,8348294161,8348294083,78,4,60,261
91373,8349025129,8349025079,50,2,44,261
91499,8372067001,8372066951,50,2,44,262
91703,8409440209,8409440129,80,2,44,262
92077,8478173929,8478173861,68,2,44,262
92237,8507664169,8507664101,68,2,44,262
92353,8529076609,8529076529,80,2,44,262
92381,8534249161,8534249089,72,4,60,262
92383,8534618689,8534618639,50,2,44,262
92387,8535357769,8535357679,90,4,60,262
92419,8541271561,8541271511,50,2,44,262
92431,8543489761,8543489687,74,2,44,262
92557,8566798249,8566798187,62,2,44,262
92569,8569019761,8569019689,72,4,60,262
92789,8609798521,8609798471,50,2,44,262
93187,8683816969,8683816919,50,2,44,262
93323,8709182329,8709182257,72,4,60,262
93941,8824911481,8824911409,72,4,60,263
94229,8879104441,8879104337,104,2,44,263
94327,8897582929,8897582857,72,4,60,263
94397,8910793609,8910793537,72,4,60,263
94433,8917591489,8917591439,50,2,44,263
94447,8920235809,8920235741,68,2,44,263
94477,8925903529,8925903463,66,4,60,263
94531,8936109961,8936109911,50,2,44,263
94873,9000886129,9000886031,98,2,44,263
95153,9054093409,9054093343,66,4,60,263
95189,9060945721,9060945643,78,4,60,263
95239,9070467121,9070467071,50,2,44,263
95267,9075801289,9075801239,50,2,44,263
95273,9076944529,9076944479,50,2,44,263
95339,9089524921,9089524831,90,6,60,263
96457,9303952849,9303952799,50,2,44,264
96703,9351470209,9351470047,162,4,60,264
96737,9358047169,9358047077,92,2,44,264
96931,9395618761,9395618699,62,2,44,264
97301,9467484601,9467484511,90,6,60,264
97651,9535717801,9535717727,74,2,44,265
97673,9540014929,9540014863,66,4,60,265
97711,9547439521,9547439441,80,2,44,265
98179,9639116041,9639115901,140,2,44,265
98563,9714664969,9714664919,50,2,44,265
98887,9778638769,9778638719,50,2,44,265
98929,9786947041,9786946979,62,2,44,265
99109,9822593881,9822593801,80,2,44,265
99131,9826955161,9826955087,74,2,44,265
99347,9869826409,9869826359,50,2,44,265
99377,9875788129,9875788057,72,4,60,265
99391,9878570881,9878570809,72,4,60,265
99719,9943878961,9943878911,50,2,44,265
100517,10103667289,10103667181,108,6,60,266
101027,10206454729,10206454667,62,2,44,266
101173,10235975929,10235975857,72,4,60,266
101267,10255005289,10255005209,80,2,44,266
101377,10277296129,10277296063,66,4,60,266
101561,10314636721,10314636637,84,4,60,266
101693,10341466249,10341466183,66,4,60,266
101917,10387074889,10387074811,78,6,60,266
101957,10395229849,10395229787,62,2,44,266
102043,10412773849,10412773781,68,2,44,267
102121,10428698641,10428698557,84,4,60,267
102161,10436869921,10436869871,50,2,44,267
102359,10477364881,10477364831,50,2,44,267
102499,10506045001,10506044917,84,4,60,267
102677,10542566329,10542566239,90,4,60,267
102679,10542977041,10542976963,78,4,60,267
102769,10561467361,10561467289,72,4,60,267
102797,10567223209,10567223129,80,2,44,267
102881,10584500161,10584500089,72,4,60,267
103099,10629403801,10629403703,98,6,60,267
103183,10646731489,10646731439,50,2,44,267
103357,10682669449,10682669363,86,6,60,267
103511,10714527121,10714527059,62,2,44,267
103549,10722395401,10722395339,62,2,44,267
103837,10782122569,10782122471,98,2,44,267
103997,10815376009,10815375943,66,4,60,267
104047,10825778209,10825778137,72,4,60,267
104113,10839516769,10839516697,72,4,60,267
104179,10853264041,10853263963,78,4,60,267
104707,10963555849,10963555781,68,2,44,268
104827,10988699929,10988699861,68,2,44,268
104831,10989538561,10989538481,80,2,44,268
104891,11002121881,11002121807,74,2,44,268
105071,11039915041,11039914957,84,4,60,268
105199,11066829601,11066829551,50,2,44,268
105331,11094619561,11094619499,62,2,44,268
105389,11106841321,11106841271,50,2,44,268
105407,11110635649,11110635581,68,2,44,268
105467,11123288089,11123288023,66,4,60,268
105503,11130883009,11130882941,68,2,44,268
105667,11165514889,11165514839,50,2,44,268
105751,11183274001,11183273911,90,6,60,268
106033,11242997089,11242997023,66,4,60,268
106129,11263364641,11263364557,84,4,60,268
106163,11270582569,11270582503,66,4,60,268
106319,11303729761,11303729663,98,6,60,268
106363,11313087769,11313087701,68,2,44,268
106649,11374009201,11374009133,68,6,60,269
106907,11429106649,11429106587,62,2,44,269
106921,11432100241,11432100157,84,4,60,269
107209,11493769681,11493769619,62,2,44,269
107713,11602090369,11602090319,50,2,44,269
107717,11602952089,11602952027,62,2,44,269
107837,11628818569,11628818507,62,2,44,269
108421,11755113241,11755113191,50,2,44,269
108791,11835481681,11835481631,50,2,44,269
109133,11910011689,11910011587,102,4,60,270
109303,11947145809,11947145741,68,2,44,270
109423,11973392929,11973392861,68,2,44,270
109541,11999230681,11999230619,62,2,44,270
109639,12020710321,12020710211,110,2,44,270
109717,12037820089,12037820023,66,4,60,270
109883,12074273689,12074273621,68,2,44,270
110051,12111222601,12111222533,68,6,60,270
110063,12113863969,12113863919,50,2,44,270
110261,12157488121,12157488071,50,2,44,270
110273,12160134529,12160134457,72,4,60,270
110323,12171164329,12171164237,92,2,44,270
110651,12243643801,12243643703,98,6,60,270
110749,12265341001,12265340917,84,4,60,270
111091,12341210281,12341210183,98,6,60,270
111121,12347876641,12347876573,68,6,60,270
111487,12429351169,12429351107,62,2,44,271
111491,12430243081,12430242989,92,2,44,271
111521,12436933441,12436933391,50,2,44,271
111659,12467732281,12467732209,72,4,60,271
111667,12469518889,12469518823,66,4,60,271
111767,12491862289,12491862211,78,6,60,271
111829,12505725241,12505725149,92,2,44,271
112019,12548256361,12548256311,50,2,44,271
112097,12565737409,12565737313,96,4,60,271
112241,12598042081,12598042013,68,6,60,271
112337,12619601569,12619601461,108,6,60,271
112571,12672230041,12672229957,84,4,60,271
112583,12674931889,12674931823,66,4,60,271
113081,12787312561,12787312477,84,4,60,271
113149,12802696201,12802696129,72,4,60,271
113209,12816277681,12816277609,72,4,60,271
113213,12817183369,12817183277,92,2,44,271
113383,12855704689,12855704579,110,2,44,271
113557,12895192249,12895192183,66,4,60,271
113899,12972982201,12972982117,84,4,60,272
113903,12973893409,12973893293,116,6,60,272
114113,13021776769,13021776697,72,4,60,272
114161,13032733921,13032733871,50,2,44,272
114371,13080725641,13080725563,78,4,60,272
114473,13104067729,13104067651,78,6,60,272
114479,13105441441,13105441339,102,4,60,272
114577,13127888929,13127888833,96,4,60,272
114649,13144393201,13144393151,50,2,44,272
114743,13165956049,13165955977,72,4,60,272
115067,13240414489,13240414427,62,2,44,272
115301,13294320601,13294320527,74,2,44,272
115421,13322007241,13322007191,50,2,44,272
115513,13343253169,13343253071,98,2,44,272
115547,13351109209,13351109159,50,2,44,272
115693,13384870249,13384870181,68,2,44,272
115769,13402461361,13402461277,84,4,60,272
115783,13405703089,13405703021,68,2,44,272
115883,13428869689,13428869611,78,6,60,272
115981,13451592361,13451592311,50,2,44,272
116113,13482228769,13482228691,78,6,60,273
116201,13502672401,13502672233,168,4,60,273
116293,13524061849,13524061757,92,2,44,273
116387,13545933769,13545933683,86,6,60,273
116881,13661168161,13661168111,50,2,44,273
116981,13684554361,13684554287,74,2,44,273
116993,13687362049,13687361999,50,2,44,273
117017,13692978289,13692978223,66,4,60,273
117101,13712644201,13712644097,104,2,44,273
117251,13747797001,13747796891,110,2,44,273
117499,13806015001,13806014921,80,2,44,273
117571,13822940041,13822939961,80,2,44,273
117659,13843640281,13843640231,50,2,44,273
117811,13879431721,13879431641,80,2,44,273
117841,13886501281,13886501219,62,2,44,273
118147,13958713609,13958713543,66,4,60,273
118249,13982826001,13982825939,62,2,44,273
118253,13983772009,13983771959,50,2,44,273
118457,14032060849,14032060799,50,2,44,273
118873,14130790129,14130790057,72,4,60,274
119027,14167426729,14167426657,72,4,60,274
119159,14198867281,14198867231,50,2,44,274
119179,14203634041,14203633991,50,2,44,274
119653,14316840409,14316840359,50,2,44,274
119737,14336949169,14336949119,50,2,44,274
119953,14388722209,14388722141,68,2,44,274
120157,14437704649,14437704599,50,2,44,274
120349,14483881801,14483881729,72,4,60,274
120587,14541224569,14541224497,72,4,60,274
120823,14598197329,14598197261,68,2,44,274
121039,14650439521,14650439437,84,4,60,274
121169,14681926561,14681926453,108,4,60,275
121321,14718785041,14718784991,50,2,44,275
