surface_label,surface_row_index,current_right_prime,actual_next_state,current_state,square_phase_utilization,square_pressure_band,ordinary_regime,high_square_regime,hd_recent_1,hd_recent_2,hd_recent_3,hd_recent_4,hd_recent_6,hd_recent_8,hd_recent_12,triad_return,short_prediction,long_prediction,nontriad_reset_prediction,event_lock_l3_prediction,event_lock_l6_prediction,carrier_regime_prediction,short_hit,long_hit,short_miss,long_repairs_short,long_pollutes_short,nontriad_reset_hit,event_lock_l3_hit,event_lock_l6_hit,carrier_regime_hit,carrier_regime_gate
10^18,213,1000000000000008919,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,4.857145935879503e-09,1,0,1,0,0,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,214,1000000000000008991,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,3.1428591506951603e-09,0,1,0,0,0,0,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,215,1000000000000009037,o4_higher_divisor_odd|5<=d<=16,o2_odd_semiprime|d<=4,3.4285736302054954e-09,0,1,0,0,0,0,0,1,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,217,1000000000000009103,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,3.0000019418583997e-09,0,1,0,1,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o6_higher_divisor_odd|5<=d<=16,o6_higher_divisor_odd|5<=d<=16,,,o4_odd_semiprime|d<=4,1,0,0,0,1,0,0,0,1,0
10^18,218,1000000000000009153,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.2857151227148305e-09,0,1,0,0,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1,1,0,0,0,1,1,1,1,0
10^18,219,1000000000000009181,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.4285723616332625e-09,0,1,0,0,0,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,1,0,0,0,1,1,1,1,0
10^18,220,1000000000000009213,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.8571447285726545e-09,0,1,0,0,0,0,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,221,1000000000000009259,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,3.428573687021896e-09,0,1,0,0,0,0,0,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,222,1000000000000009319,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,1.5714296121639547e-09,0,1,0,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,1,0,0,0,0
10^18,223,1000000000000009343,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.7142868540415742e-09,0,1,0,0,0,0,0,0,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_higher_divisor_even|d>64,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,224,1000000000000009381,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,3.857145429858859e-09,0,1,0,0,0,0,0,0,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,225,1000000000000009441,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,2.285715820735725e-09,0,1,0,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,1,1,1,0,0,0,0,0,0
10^18,226,1000000000000009483,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,4.714288892389897e-09,1,0,1,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,227,1000000000000009553,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,1.7142868787763013e-09,0,1,0,0,0,0,0,0,0,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,1,0,0,0,0
