anchor_p,actual_q,actual_offset,candidate_count,structural_survivor_count,structural_survivors,rule_x_survivor_count,rule_x_survivors,rule_x_true_rejected,survivor_lock_survivor_count,survivor_lock_survivors,survivor_lock_true_rejected,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,exact_survivor_count,exact_survivors,exact_unique_match
751,757,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,24,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90]",False,752,1,10,753,2,4,753,2,4,841,90,3,1,[6],True
757,761,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",23,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84]",False,23,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84]",False,758,1,4,841,84,3,758,1,4,841,84,3,1,[4],True
761,769,8,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,22,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80]",False,762,1,8,763,2,4,763,2,4,841,80,3,1,[8],True
769,773,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,19,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72]",False,770,1,16,771,2,4,771,2,4,841,72,3,1,[4],True
773,787,14,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,18,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68]",False,774,1,12,775,2,6,778,5,4,841,68,3,1,[14],True
787,797,10,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,15,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54]",False,788,1,6,789,2,4,789,2,4,841,54,3,1,[10],True
797,809,12,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,12,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44]",False,798,1,16,799,2,4,799,2,4,841,44,3,1,[12],True
809,811,2,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],False,1,[2],False,810,1,20,812,3,12,810,1,20,812,3,12,1,[2],True
811,821,10,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,8,"[6, 10, 12, 16, 18, 22, 28, 30]",False,812,1,12,813,2,4,813,2,4,841,30,3,1,[10],True
821,823,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",3,"[2, 6, 8]",False,3,"[2, 6, 8]",False,822,1,8,831,10,4,822,1,8,831,10,4,1,[2],True
823,827,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",2,"[4, 6]",False,2,"[4, 6]",False,824,1,8,831,8,4,824,1,8,831,8,4,1,[4],True
827,829,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,1,[2],False,828,1,18,830,3,8,828,1,18,830,3,8,1,[2],True
829,839,10,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,3,"[4, 10, 12]",False,830,1,8,831,2,4,831,2,4,841,12,3,1,[10],True
839,853,14,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",False,840,1,32,841,2,3,841,2,3,,,,1,[14],True
853,857,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",2,"[4, 6]",False,2,"[4, 6]",False,854,1,8,862,9,4,854,1,8,862,9,4,1,[4],True
857,859,2,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],False,1,[2],False,858,1,16,860,3,12,858,1,16,860,3,12,1,[2],True
859,863,4,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,27,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102]",False,860,1,12,861,2,8,862,3,4,961,102,3,1,[4],True
863,877,14,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,26,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98]",False,864,1,24,865,2,4,865,2,4,961,98,3,1,[14],True
877,881,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",23,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84]",False,23,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84]",False,878,1,4,961,84,3,878,1,4,961,84,3,1,[4],True
881,883,2,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],False,1,[2],False,882,1,18,884,3,12,882,1,18,884,3,12,1,[2],True
883,887,4,34,34,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78, 84, 88, 90, 94, 96, 100, 106, 108, 114, 118, 120, 124, 126]",0,[],True,21,"[4, 6, 10, 16, 18, 24, 28, 30, 34, 36, 40, 46, 48, 54, 58, 60, 64, 66, 70, 76, 78]",False,884,1,12,885,2,8,886,3,4,961,78,3,1,[4],True
887,907,20,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,20,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74]",False,888,1,16,889,2,4,889,2,4,961,74,3,1,[20],True
907,911,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",2,"[4, 6]",False,2,"[4, 6]",False,908,1,6,913,6,4,908,1,6,913,6,4,1,[4],True
911,919,8,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,14,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50]",False,912,1,20,913,2,4,913,2,4,961,50,3,1,[8],True
919,929,10,33,33,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42, 48, 52, 54, 58, 60, 64, 70, 72, 78, 82, 84, 88, 90, 94, 100, 102, 108, 112, 114, 118, 120, 124]",0,[],True,11,"[4, 10, 12, 18, 22, 24, 28, 30, 34, 40, 42]",False,920,1,16,921,2,4,921,2,4,961,42,3,1,[10],True
929,937,8,34,34,"[2, 8, 12, 14, 18, 20, 24, 30, 32, 38, 42, 44, 48, 50, 54, 60, 62, 68, 72, 74, 78, 80, 84, 90, 92, 98, 102, 104, 108, 110, 114, 120, 122, 128]",1,[2],True,9,"[2, 8, 12, 14, 18, 20, 24, 30, 32]",False,930,1,16,931,2,6,933,4,4,961,32,3,1,[8],True
937,941,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,7,"[4, 6, 10, 12, 16, 22, 24]",False,938,1,8,939,2,4,939,2,4,961,24,3,1,[4],True
941,947,6,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,6,"[2, 6, 8, 12, 18, 20]",False,942,1,8,943,2,4,943,2,4,961,20,3,1,[6],True
947,953,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,4,"[2, 6, 12, 14]",False,948,1,12,949,2,4,949,2,4,961,14,3,1,[6],True
953,967,14,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",False,954,1,12,955,2,4,961,8,3,,,,1,[14],True
967,971,4,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",0,[],True,2,"[4, 6]",False,968,1,12,969,2,8,969,2,8,973,6,4,1,[4],True
971,977,6,35,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",1,[2],True,35,"[2, 6, 8, 12, 18, 20, 26, 30, 32, 36, 38, 42, 48, 50, 56, 60, 62, 66, 68, 72, 78, 80, 86, 90, 92, 96, 98, 102, 108, 110, 116, 120, 122, 126, 128]",False,972,1,18,973,2,4,973,2,4,,,,1,[6],True
977,983,6,34,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",1,[2],True,34,"[2, 6, 12, 14, 20, 24, 26, 30, 32, 36, 42, 44, 50, 54, 56, 60, 62, 66, 72, 74, 80, 84, 86, 90, 92, 96, 102, 104, 110, 114, 116, 120, 122, 126]",False,978,1,8,979,2,4,979,2,4,,,,1,[6],True
983,991,8,34,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",0,[],True,34,"[6, 8, 14, 18, 20, 24, 26, 30, 36, 38, 44, 48, 50, 54, 56, 60, 66, 68, 74, 78, 80, 84, 86, 90, 96, 98, 104, 108, 110, 114, 116, 120, 126, 128]",False,984,1,16,985,2,4,985,2,4,,,,1,[8],True
991,997,6,33,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",0,[],True,33,"[6, 10, 12, 16, 18, 22, 28, 30, 36, 40, 42, 46, 48, 52, 58, 60, 66, 70, 72, 76, 78, 82, 88, 90, 96, 100, 102, 106, 108, 112, 118, 120, 126]",False,992,1,12,993,2,4,993,2,4,,,,1,[6],True
997,1009,12,34,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",False,34,"[4, 6, 10, 12, 16, 22, 24, 30, 34, 36, 40, 42, 46, 52, 54, 60, 64, 66, 70, 72, 76, 82, 84, 90, 94, 96, 100, 102, 106, 112, 114, 120, 124, 126]",False,998,1,4,,,,998,1,4,,,,1,[12],True
