scale,anchor_p,seed_s0,terminal_q,terminal_index,chain_index,node_n,least_factor_for_audit_only,sqrt_node,left_distance,center_distance,sqrt_minus_least_factor,two_lane_distance,least_factor_over_sqrt_node,center_distance_over_sqrt_node,two_lane_distance_over_sqrt_node,lane,closure_lane,node_offset_from_anchor,node_offset_from_seed,seed_offset,delta_prev,delta_next,prefix_delta_vector,chain_delta_vector,carrier_to_node_delta,node_mod_30,offset_mod_30,candidate_bound,visible_divisor_bound
1000000000000,999999994379,999999994381,999999994403,2,1,999999994387,130811,999999,130811,869188,869188,130811,0.1308111308111308,0.8691888691888692,0.1308111308111308,low_factor,small_shadow_horizon,8,6,2,6,16,[6],"[6,16,20,6,10,18,2,4]",8,7,8,128,10000
1000000000000,999999994319,999999994339,999999994361,2,1,999999994351,13487,999999,13487,986512,986512,13487,0.013487013487013488,0.9865129865129865,0.013487013487013488,low_factor,small_shadow_horizon,32,12,20,12,10,[12],"[12,10,2,16,2,6,16,20]",32,1,2,128,10000
1000000000000,999999994009,999999994043,999999994087,3,1,999999994051,787489,999999,787489,212510,212510,212510,0.7874897874897875,0.21251021251021252,0.21251021251021252,sqrt_adjacent,balanced_semiprime_center,42,8,34,8,10,[8],"[8,10,26,24,6,10]",42,1,12,128,10000
1000000000000,999999994009,999999994043,999999994087,3,2,999999994061,72161,999999,72161,927838,927838,72161,0.07216107216107216,0.9278389278389279,0.07216107216107216,low_factor,small_shadow_horizon,52,18,34,10,26,"[8,10]","[8,10,26,24,6,10]",52,11,22,128,10000
1000000000000,999999993929,999999993953,999999994009,3,1,999999993983,196111,999999,196111,803888,803888,196111,0.19611119611119612,0.8038888038888039,0.19611119611119612,low_factor,small_shadow_horizon,54,30,24,30,8,[30],"[30,8,18,34,8]",54,23,24,128,10000
1000000000000,999999993929,999999993953,999999994009,3,2,999999993991,11083,999999,11083,988916,988916,11083,0.011083011083011083,0.9889169889169889,0.011083011083011083,low_factor,small_shadow_horizon,62,38,24,8,18,"[30,8]","[30,8,18,34,8]",62,1,2,128,10000
1000000000000,999999993871,999999993877,999999993899,3,1,999999993887,517507,999999,517507,482492,482492,482492,0.5175075175075176,0.4824924824924825,0.4824924824924825,sqrt_adjacent,balanced_semiprime_center,16,10,6,10,6,[10],"[10,6,6,8,4,18,24,30]",16,17,16,128,10000
1000000000000,999999993871,999999993877,999999993899,3,2,999999993893,63793,999999,63793,936206,936206,63793,0.06379306379306379,0.9362069362069362,0.06379306379306379,low_factor,small_shadow_horizon,22,16,6,6,6,"[10,6]","[10,6,6,8,4,18,24,30]",22,23,22,128,10000
1000000000000,999999993653,999999993689,999999993749,3,1,999999993691,402049,999999,402049,597950,597950,402049,0.40204940204940204,0.5979505979505979,0.40204940204940204,low_factor,small_shadow_horizon,38,2,36,2,48,[2],"[2,48,10,8,6,16]",38,1,8,128,10000
1000000000000,999999993653,999999993689,999999993749,3,2,999999993739,78079,999999,78079,921920,921920,78079,0.07807907807907807,0.9219209219209219,0.07807907807907807,low_factor,small_shadow_horizon,86,50,36,48,10,"[2,48]","[2,48,10,8,6,16]",86,19,26,128,10000
1000000000000,999999993361,999999993371,999999993389,2,1,999999993373,186253,999999,186253,813746,813746,186253,0.18625318625318626,0.8137468137468138,0.18625318625318626,low_factor,small_shadow_horizon,12,2,10,2,16,[2],"[2,16,48,30,14]",12,13,12,128,10000
1000000000000,999999993287,999999993301,999999993361,2,1,999999993337,245039,999999,245039,754960,754960,245039,0.24503924503924504,0.754960754960755,0.24503924503924504,low_factor,small_shadow_horizon,50,36,14,36,24,[36],"[36,24,10,2,16]",50,7,20,128,10000
1000000000000,999999992843,999999992911,999999992941,2,1,999999992917,27197,999999,27197,972802,972802,27197,0.0271970271970272,0.9728029728029728,0.0271970271970272,low_factor,small_shadow_horizon,74,6,68,6,24,[6],"[6,24,6]",74,7,14,128,10000
1000000000000,999999992743,999999992749,999999992843,4,1,999999992801,27823,999999,27823,972176,972176,27823,0.027823027823027823,0.9721769721769722,0.027823027823027823,low_factor,small_shadow_horizon,58,52,6,52,32,[52],"[52,32,4,6]",58,11,28,128,10000
1000000000000,999999992743,999999992749,999999992843,4,2,999999992833,11807,999999,11807,988192,988192,11807,0.011807011807011807,0.9881929881929882,0.011807011807011807,low_factor,small_shadow_horizon,90,84,6,32,4,"[52,32]","[52,32,4,6]",90,13,0,128,10000
1000000000000,999999992743,999999992749,999999992843,4,3,999999992837,75557,999999,75557,924442,924442,75557,0.07555707555707555,0.9244429244429244,0.07555707555707555,low_factor,small_shadow_horizon,94,88,6,4,6,"[52,32,4]","[52,32,4,6]",94,17,4,128,10000
1000000000000,999999992647,999999992653,999999992731,4,1,999999992681,192601,999999,192601,807398,807398,192601,0.1926011926011926,0.8073988073988074,0.1926011926011926,low_factor,small_shadow_horizon,34,28,6,28,6,[28],"[28,6,26,18,6,4,2,6]",34,11,4,128,10000
1000000000000,999999992647,999999992653,999999992731,4,2,999999992687,30773,999999,30773,969226,969226,30773,0.030773030773030775,0.9692269692269693,0.030773030773030775,low_factor,small_shadow_horizon,40,34,6,6,26,"[28,6]","[28,6,26,18,6,4,2,6]",40,17,10,128,10000
1000000000000,999999992647,999999992653,999999992731,4,3,999999992713,650401,999999,650401,349598,349598,349598,0.6504016504016504,0.3495983495983496,0.3495983495983496,sqrt_adjacent,balanced_semiprime_center,66,60,6,26,18,"[28,6,26]","[28,6,26,18,6,4,2,6]",66,13,6,128,10000
1000000000000,999999992539,999999992567,999999992611,2,1,999999992569,216103,999999,216103,783896,783896,216103,0.21610321610321612,0.7838967838967839,0.21610321610321612,low_factor,small_shadow_horizon,30,2,28,2,42,[2],"[2,42,28,8,6]",30,19,0,128,10000
1000000000000,999999992447,999999992461,999999992531,3,1,999999992471,137743,999999,137743,862256,862256,137743,0.13774313774313773,0.8622568622568623,0.13774313774313773,low_factor,small_shadow_horizon,24,10,14,10,20,[10],"[10,20,40,8,28,2]",24,11,24,128,10000
1000000000000,999999992447,999999992461,999999992531,3,2,999999992491,12853,999999,12853,987146,987146,12853,0.012853012853012854,0.9871469871469871,0.012853012853012854,low_factor,small_shadow_horizon,44,30,14,20,40,"[10,20]","[10,20,40,8,28,2]",44,1,14,128,10000
1000000000000000,999999999999989,1000000000000003,1000000000000037,3,1,1000000000000021,47293,31622776,47293,31575483,31575483,47293,0.0014955360022788637,0.9985044639977211,0.0014955360022788637,low_factor,small_shadow_horizon,32,18,14,18,12,[18],"[18,12,4,32,22,26]",32,1,2,128,10000
1000000000000000,999999999999989,1000000000000003,1000000000000037,3,2,1000000000000033,34843,31622776,34843,31587933,31587933,34843,0.0011018324260969373,0.998898167573903,0.0011018324260969373,low_factor,small_shadow_horizon,44,30,14,12,4,"[18,12]","[18,12,4,32,22,26]",44,13,14,128,10000
1000000000000000,999999999999883,999999999999893,999999999999947,2,1,999999999999907,17183,31622776,17183,31605593,31605593,17183,0.0005433741806854654,0.9994566258193145,0.0005433741806854654,low_factor,small_shadow_horizon,24,14,10,14,40,[14],"[14,40,20,22,14]",24,7,24,128,10000
1000000000000000,999999999999827,999999999999839,999999999999877,2,1,999999999999853,3875797,31622776,3875797,27746979,27746979,3875797,0.12256346501648052,0.8774365349835195,0.12256346501648052,low_factor,small_shadow_horizon,26,14,12,14,24,[14],"[14,24,4,2,10,14,40]",26,13,26,128,10000
1000000000000000,999999999999577,999999999999599,999999999999643,3,1,999999999999617,2000429,31622776,2000429,29622347,29622347,2000429,0.06325912057815544,0.9367408794218446,0.06325912057815544,low_factor,small_shadow_horizon,40,18,22,18,2,[18],"[18,2,24,16,18,24]",40,17,10,128,10000
1000000000000000,999999999999577,999999999999599,999999999999643,3,2,999999999999619,2236327,31622776,2236327,29386449,29386449,2236327,0.07071887047487545,0.9292811295251245,0.07071887047487545,low_factor,small_shadow_horizon,42,20,22,2,24,"[18,2]","[18,2,24,16,18,24]",42,19,12,128,10000
1000000000000000,999999999999409,999999999999421,999999999999491,4,1,999999999999431,49549,31622776,49549,31573227,31573227,49549,0.001566876987649661,0.9984331230123503,0.001566876987649661,low_factor,small_shadow_horizon,22,10,12,10,8,[10],"[10,8,10,42,30]",22,11,22,128,10000
1000000000000000,999999999999409,999999999999421,999999999999491,4,2,999999999999439,93911,31622776,93911,31528865,31528865,93911,0.0029697266299454545,0.9970302733700546,0.0029697266299454545,low_factor,small_shadow_horizon,30,18,12,8,10,"[10,8]","[10,8,10,42,30]",30,19,0,128,10000
1000000000000000,999999999999409,999999999999421,999999999999491,4,3,999999999999449,1437283,31622776,1437283,30185493,30185493,1437283,0.04545088008718779,0.9545491199128122,0.04545088008718779,low_factor,small_shadow_horizon,40,28,12,10,42,"[10,8,10]","[10,8,10,42,30]",40,29,10,128,10000
1000000000000000,999999999999353,999999999999361,999999999999389,2,1,999999999999367,9033853,31622776,9033853,22588923,22588923,9033853,0.285675520706974,0.714324479293026,0.285675520706974,low_factor,small_shadow_horizon,14,6,8,6,22,[6],"[6,22,20,12,10,8,10]",14,7,14,128,10000
