current_right_prime,next_prime,gap_width,first_open_offset,exact_next_dmin,exact_next_peak_offset,cutoff,cutoff_utilization,exact_gap_boundary_offset,boundary_utilization,divisor_ladder
1103,1109,6,6,6,5,64,0.078125,6,0.09375,20 8 8 8 6
1129,1151,22,4,4,4,64,0.0625,22,0.34375,8 8 6 4
1181,1187,6,2,4,5,64,0.078125,6,0.09375,8 6 12 8 4
1307,1319,12,2,4,6,64,0.09375,12,0.1875,12 8 8 8 12 4
1319,1321,2,2,32,1,64,0.015625,2,0.03125,32
1327,1361,34,4,4,2,64,0.03125,34,0.53125,10 4
1381,1399,18,6,4,1,64,0.015625,18,0.28125,4
1489,1493,4,4,6,3,64,0.046875,4,0.0625,8 8 6
1619,1621,2,2,30,1,64,0.015625,2,0.03125,30
1663,1667,4,4,12,2,64,0.03125,4,0.0625,16 12
1669,1693,24,4,3,12,64,0.1875,24,0.375,8 4 16 4 16 6 6 8 4 4 40 3
1669,1693,24,4,3,12,64,0.1875,24,0.375,8 4 16 4 16 6 6 8 4 4 40 3
1951,1973,22,6,4,3,64,0.046875,22,0.34375,12 12 4
2053,2063,10,4,4,6,64,0.09375,10,0.15625,8 8 8 6 16 4
2111,2113,2,2,28,1,64,0.015625,2,0.03125,28
2131,2137,6,6,8,2,64,0.03125,6,0.09375,12 8
2339,2341,2,2,36,1,64,0.015625,2,0.03125,36
2477,2503,26,2,4,2,64,0.03125,26,0.40625,16 4
2521,2531,10,6,6,2,64,0.03125,10,0.15625,8 6
2713,2719,6,4,8,1,64,0.015625,6,0.09375,8
2971,2999,28,6,4,2,64,0.03125,28,0.4375,6 4
3119,3121,2,2,40,1,64,0.015625,2,0.03125,40
3359,3361,2,2,48,1,64,0.015625,2,0.03125,48
3769,3779,10,4,4,8,64,0.125,10,0.15625,16 6 12 8 16 6 14 4
3911,3917,6,2,8,2,64,0.03125,6,0.09375,16 8
3911,3917,6,2,8,2,64,0.03125,6,0.09375,16 8
4799,4801,2,2,42,1,64,0.015625,2,0.03125,42
4831,4861,30,6,4,3,64,0.046875,30,0.46875,12 8 4
4919,4931,12,2,4,8,64,0.125,12,0.1875,32 8 8 6 6 6 8 4
5351,5381,30,2,4,2,64,0.03125,30,0.46875,16 4
5591,5623,32,2,4,3,64,0.046875,32,0.5,16 8 4
5881,5897,16,6,4,10,64,0.15625,16,0.25,8 8 6 8 16 6 18 8 16 4
6299,6301,2,2,54,1,64,0.015625,2,0.03125,54
6301,6311,10,6,6,8,64,0.125,10,0.15625,8 8 12 8 8 8 12 6
7207,7211,4,4,10,2,64,0.03125,4,0.0625,16 10
7523,7529,6,6,8,3,64,0.046875,6,0.09375,36 12 8
7559,7561,2,2,64,1,64,0.015625,2,0.03125,64
7789,7793,4,4,10,3,64,0.046875,4,0.0625,16 12 10
7927,7933,6,4,6,2,64,0.03125,6,0.09375,8 6
8293,8297,4,4,16,1,64,0.015625,4,0.0625,16
8831,8837,6,2,6,2,64,0.03125,6,0.09375,32 6
8831,8837,6,2,6,2,64,0.03125,6,0.09375,32 6
9059,9067,8,2,8,2,64,0.03125,8,0.125,24 8
9551,9587,36,2,4,2,64,0.03125,36,0.5625,20 4
10193,10211,18,6,3,8,64,0.125,18,0.28125,8 4 6 12 4 8 48 3
11447,11467,20,2,3,2,64,0.03125,20,0.3125,32 3
11867,11887,20,2,3,14,64,0.21875,20,0.3125,24 8 8 6 24 4 8 10 6 8 4 4 64 3
11933,11939,6,6,8,4,64,0.0625,6,0.09375,32 16 12 8
12239,12241,2,2,60,1,64,0.015625,2,0.03125,60
12253,12263,10,4,4,9,64,0.140625,10,0.15625,8 16 12 8 16 8 12 8 4
