left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
232637689,232637693,4,25309,232637692,30,3,232637691,32,2,,199388,1,0.07142857120544477,3.123772795987635e-09
235973197,235973201,4,27487,235973200,30,3,235973199,32,2,,355928,1,0.07142857120876123,3.0773423809193913e-09
236047789,236047793,4,11989,236047792,30,3,236047791,32,2,,281336,1,0.07142857120883428,3.0763196434691066e-09
238742557,238742561,4,4057,238742559,30,2,238742558,32,1,,299960,1,0.07142857121144242,3.0398057404568148e-09
465626797,465626801,4,11647,465626800,30,3,465626798,32,1,,371768,2,0.07142857121336488,3.012891269804642e-09
242078029,242078033,4,6199,242078032,30,3,242078031,32,2,,4448,1,0.07142857121458812,2.995765857605194e-09
469812397,469812401,4,23077,469812400,30,3,469812398,32,1,,340088,2,0.07142857121537771,2.984711588993606e-09
245801389,245801393,4,5839,245801392,30,3,245801391,32,2,,29648,1,0.07142857121799584,2.9480577978802115e-09
247175629,247175633,4,28729,247175631,30,2,247175630,32,1,,162896,1,0.07142857121922708,2.9308204751998813e-09
478219597,478219601,4,21877,478219600,30,3,478219598,32,1,,121040,2,0.07142857121931168,2.9296360892772112e-09
251598877,251598881,4,7537,251598879,30,2,251598878,32,1,,480248,1,0.07142857122309598,2.876655802452889e-09
253297069,253297073,4,24049,253297072,30,3,253297071,32,2,,117488,1,0.0714285712245446,2.8563751364174562e-09
492636493,492636497,4,24373,492636496,30,3,492636494,32,1,,1491944,2,0.07142857122573698,2.8396818230191924e-09
493406989,493406993,4,14089,493406992,30,3,493406990,32,1,,721448,2,0.0714285712260696,2.8350251035647046e-09
255155623,255155627,4,20743,255155625,30,2,255155624,32,1,,556454,1,0.07142857122610713,2.834499746029452e-09
494222497,494222501,4,18787,494222500,30,3,494222498,32,1,,706508,2,0.07142857122642021,2.830116585528232e-09
258429373,258429377,4,21223,258429375,30,2,258429374,32,1,,362192,1,0.07142857122880342,2.796751719102987e-09
737334827,737334833,6,8237,737334832,30,5,737334829,32,2,,1363208,3,0.07142857122930613,2.789713793305283e-09
270424573,270424577,4,4423,270424575,30,2,270424574,32,1,,79232,1,0.07142857123811064,2.6664506158624603e-09
526577713,526577717,4,1663,526577716,30,3,526577714,32,1,,629804,2,0.07142857123944046,2.647833063917916e-09
274166773,274166777,4,22903,274166775,30,2,274166774,32,1,,99944,1,0.07142857124084334,2.6281927745230872e-09
275618029,275618033,4,2689,275618032,30,3,275618031,32,2,,41576,1,0.07142857124188251,2.613644412008399e-09
540319597,540319601,4,19837,540319600,30,3,540319598,32,1,,289400,2,0.07142857124448665,2.5771864642365484e-09
279354373,279354377,4,15313,279354375,30,2,279354374,32,1,,505064,1,0.07142857124450708,2.576900470785405e-09
546014797,546014801,4,9337,546014800,30,3,546014798,32,1,,95360,2,0.0714285712465017,2.548975697180823e-09
556031629,556031633,4,26179,556031632,30,3,556031630,32,1,,31928,2,0.07142857124994317,2.5007951265365604e-09
289165069,289165073,4,6199,289165072,30,3,289165071,32,2,,209048,1,0.07142857125106694,2.485062378099202e-09
560681197,560681201,4,21097,560681200,30,3,560681198,32,1,,392768,2,0.07142857125149771,2.4790316466294383e-09
566779597,566779601,4,23407,566779600,30,3,566779598,32,1,,279368,2,0.071428571253497,2.4510415919110086e-09
571164397,571164401,4,23827,571164400,30,3,571164398,32,1,,475880,2,0.07142857125490742,2.4312956092842354e-09
571541293,571541297,4,10333,571541296,30,3,571541294,32,1,,98984,2,0.07142857125502755,2.4296138434465332e-09
574692397,574692401,4,8287,574692400,30,3,574692398,32,1,,204128,2,0.07142857125602609,2.415634359209663e-09
579294253,579294257,4,15553,579294256,30,3,579294254,32,1,,118784,2,0.07142857125746449,2.395496689899802e-09
300392497,300392501,4,2407,300392500,30,3,300392499,32,2,,40388,1,0.0714285712580347,2.3875137422635374e-09
300409639,300409643,4,19549,300409641,30,2,300409640,32,1,,23246,1,0.07142857125804492,2.3873707455379657e-09
605983597,605983601,4,8227,605983600,30,3,605983598,32,1,,308528,2,0.07142857126536484,2.284891831294545e-09
610025869,610025873,4,26479,610025872,30,3,610025870,32,1,,508808,2,0.07142857126649971,2.2690036516337395e-09
615230797,615230801,4,6187,615230800,30,3,615230798,32,1,,255680,2,0.07142857126793833,2.2488628736994096e-09
618055597,618055601,4,8167,618055600,30,3,618055598,32,1,,809528,2,0.07142857126870883,2.2380759467921515e-09
323104429,323104433,4,11659,323104432,30,3,323104431,32,2,,68096,1,0.0714285712706122,2.2114288178443084e-09
634013197,634013201,4,19837,634013200,30,3,634013198,32,1,,170288,2,0.07142857127292834,2.1790027560086864e-09
636923629,636923633,4,17359,636923632,30,3,636923630,32,1,,285416,2,0.07142857127367463,2.168554669168544e-09
332339629,332339633,4,27649,332339632,30,3,332339631,32,2,,102656,1,0.07142857127522229,2.1468875566199594e-09
334085623,334085627,4,1873,334085625,30,2,334085624,32,1,,328742,1,0.07142857127606428,2.1350996526336993e-09
648763597,648763601,4,25507,648763600,30,3,648763598,32,1,,8240,2,0.07142857127663937,2.1270483152591177e-09
651796429,651796433,4,25309,651796432,30,3,651796430,32,1,,341936,2,0.07142857127738123,2.1166624009083543e-09
654013933,654013937,4,20593,654013936,30,3,654013934,32,1,,168992,2,0.0714285712779188,2.1091364210690253e-09
662249197,662249201,4,27637,662249200,30,3,662249198,32,1,,349880,2,0.07142857127988411,2.081621985894345e-09
667178797,667178801,4,2287,667178800,30,3,667178798,32,1,,578480,2,0.07142857128103652,2.065488224900492e-09
346826797,346826801,4,10327,346826800,30,3,346826799,32,2,,510968,1,0.07142857128194646,2.0527490818267333e-09
347847289,347847293,4,9799,347847291,30,2,347847290,32,1,,385628,1,0.07142857128239832,2.046423031032419e-09
683080813,683080817,4,18433,683080816,30,3,683080814,32,1,,271064,2,0.07142857128463787,2.015069444638585e-09
356809129,356809133,4,22699,356809131,30,2,356809130,32,1,,363068,1,0.0714285712862539,1.9924448757535637e-09
357632749,357632753,4,5479,357632752,30,3,357632751,32,2,,68816,1,0.0714285712865983,1.9876233992022216e-09
699691693,699691697,4,22723,699691696,30,3,699691694,32,1,,386984,2,0.07142857128822078,1.9649086802076007e-09
364565437,364565441,4,1237,364565439,30,2,364565438,32,1,,1047200,1,0.07142857128943358,1.9479293733581934e-09
369487897,369487901,4,28807,369487899,30,2,369487898,32,1,,343460,1,0.07142857129138047,1.920672954014436e-09
370670173,370670177,4,9883,370670175,30,2,370670174,32,1,,238904,1,0.07142857129184033,1.9142349927392396e-09
372874669,372874673,4,22189,372874671,30,2,372874670,32,1,,349088,1,0.07142857129268965,1.902344504145504e-09
722993389,722993393,4,21139,722993392,30,3,722993390,32,1,,132488,2,0.07142857129296232,1.898527113297633e-09
724383853,724383857,4,193,724383856,30,3,724383854,32,1,,356384,2,0.07142857129323543,1.894703505200824e-09
730070989,730070993,4,11659,730070992,30,3,730070990,32,1,,603968,2,0.07142857129434121,1.879222555345451e-09
378399517,378399521,4,21517,378399519,30,2,378399518,32,1,,175328,1,0.07142857129477309,1.8731762807533422e-09
379163509,379163513,4,4729,379163511,30,2,379163510,32,1,,190016,1,0.07142857129505642,1.8692096759309615e-09
737334827,737334833,6,8237,737334832,30,5,737334830,32,3,,1363208,2,0.07142857129572788,1.8598091955368554e-09
737803789,737803793,4,26749,737803792,30,3,737803790,32,1,,894248,2,0.07142857129581648,1.8585688543737441e-09
383447497,383447501,4,24457,383447500,30,3,383447499,32,2,,46388,1,0.07142857129662317,1.8472752216780472e-09
388565293,388565297,4,7123,388565296,30,3,388565295,32,2,,194792,1,0.07142857129844837,1.8217223285432746e-09
752327497,752327501,4,15937,752327500,30,3,752327498,32,1,,132260,2,0.07142857129850344,1.8209513896749749e-09
752553709,752553713,4,1909,752553712,30,3,752553710,32,1,,235256,2,0.07142857129854452,1.820376294148219e-09
391152397,391152401,4,11647,391152400,30,3,391152399,32,2,,610448,1,0.07142857129935232,1.8090671183301774e-09
392313793,392313797,4,1873,392313796,30,3,392313795,32,2,,241172,1,0.07142857129975422,1.803440508041377e-09
762547993,762547997,4,26233,762547996,30,3,762547994,32,1,,150692,2,0.07142857130033153,1.795358084422106e-09
765307597,765307601,4,23077,765307600,30,3,765307598,32,1,,487328,2,0.07142857130081648,1.7885688485819182e-09
395546029,395546033,4,20899,395546032,30,3,395546031,32,2,,26288,1,0.07142857130085956,1.7879657754349418e-09
769877197,769877201,4,28117,769877200,30,3,769877198,32,1,,129800,2,0.07142857130161184,1.7774337557341377e-09
787320973,787320977,4,24463,787320976,30,3,787320974,32,1,,547784,2,0.07142857130456037,1.7361543314109448e-09
788196397,788196401,4,29017,788196400,30,3,788196398,32,1,,346160,2,0.0714285713047047,1.734133725506127e-09
794814733,794814737,4,10723,794814736,30,3,794814734,32,1,,481664,2,0.0714285713057865,1.7189885070934005e-09
411785287,411785291,4,13927,411785289,30,2,411785288,32,1,,182918,1,0.0714285713061451,1.7139680785760455e-09
803292397,803292401,4,19927,803292400,30,3,803292398,32,1,,373400,2,0.0714285713071452,1.6999668339678928e-09
806767597,806767601,4,11647,806767600,30,3,806767598,32,1,,303680,2,0.07142857130769364,1.6922885315295852e-09
807149293,807149297,4,2953,807149296,30,3,807149294,32,1,,35624,2,0.07142857130775337,1.6914523115474375e-09
808719469,808719473,4,11569,808719472,30,3,808719470,32,1,,57248,2,0.0714285713079994,1.6880079556358404e-09
813771853,813771857,4,18913,813771856,30,3,813771854,32,1,,588512,2,0.07142857130878455,1.6770158595136317e-09
422844109,422844113,4,21709,422844112,30,3,422844111,32,2,,1227536,1,0.07142857130950597,1.6669159386140117e-09
822845197,822845201,4,23197,822845200,30,3,822845198,32,1,,98768,2,0.07142857131016922,1.6576304773252568e-09
425102173,425102177,4,27523,425102175,30,2,425102174,32,1,,370952,1,0.07142857131017011,1.657618042827381e-09
827240269,827240273,4,3859,827240272,30,3,827240270,32,1,,530168,2,0.07142857131082891,1.648394754028005e-09
830894413,830894417,4,24373,830894416,30,3,830894414,32,1,,678152,2,0.07142857131137181,1.6407941672014212e-09
433010797,433010801,4,8227,433010800,30,3,433010799,32,2,,3680,1,0.07142857131244029,1.6258354662568315e-09
843134797,843134801,4,12517,843134800,30,3,843134798,32,1,,1290680,2,0.0714285713131555,1.615822586842342e-09
847064173,847064177,4,7963,847064176,30,3,847064174,32,1,,1084952,2,0.07142857131371683,1.6079639841848354e-09
438093709,438093713,4,16069,438093712,30,3,438093711,32,2,,348008,1,0.07142857131385516,1.6060273111406793e-09
439062733,439062737,4,24133,439062736,30,3,439062735,32,2,,216944,1,0.07142857131412095,1.6023062876513456e-09
850284973,850284977,4,15553,850284976,30,3,850284974,32,1,,428912,2,0.07142857131417313,1.6015757609011422e-09
445075597,445075601,4,967,445075600,30,3,445075599,32,2,,176600,1,0.07142857131574454,1.57957602553438e-09
863363533,863363537,4,1033,863363536,30,3,863363534,32,1,,232232,2,0.07142857131598968,1.5761441041206587e-09
872091373,872091377,4,20173,872091376,30,3,872091374,32,1,,342992,2,0.07142857131717073,1.5596093305703113e-09
892507597,892507601,4,15997,892507600,30,3,892507598,32,1,,247040,2,0.07142857131984126,1.5222219040822444e-09
462564997,462565001,4,12907,462564999,30,2,462564998,32,1,,416288,1,0.07142857132022007,1.516918590738215e-09
897557197,897557201,4,20557,897557200,30,3,897557198,32,1,,1423088,2,0.07142857132048275,1.5132410879914466e-09
898058797,898058801,4,11647,898058800,30,3,898058798,32,1,,921488,2,0.07142857132054603,1.5123551300177957e-09
901910029,901910033,4,19039,901910032,30,3,901910030,32,1,,912176,2,0.07142857132102942,1.5055876545488906e-09
905503597,905503601,4,9007,905503600,30,3,905503598,32,1,,325808,2,0.07142857132147706,1.4993206676194865e-09
907536397,907536401,4,29797,907536400,30,3,907536398,32,1,,461288,2,0.07142857132172842,1.4958017047206346e-09
909380653,909380657,4,12193,909380656,30,3,909380654,32,1,,305264,2,0.07142857132195557,1.4926215818888983e-09
469812397,469812401,4,23077,469812400,30,3,469812399,32,2,,340088,1,0.07142857132197467,1.4923542401845686e-09
471101749,471101753,4,21139,471101751,30,2,471101750,32,1,,352616,1,0.07142857132228086,1.488067447041886e-09
912915469,912915473,4,3469,912915472,30,3,912915470,32,1,,514256,2,0.07142857132238856,1.486559764174445e-09
918492013,918492017,4,24463,918492016,30,3,918492014,32,1,,22232,2,0.07142857132306424,1.4771002199154288e-09
924077197,924077201,4,24067,924077200,30,3,924077198,32,1,,265208,2,0.07142857132373281,1.467740151639419e-09
935689453,935689457,4,14713,935689456,30,3,935689454,32,1,,242192,2,0.07142857132509639,1.4486500887755944e-09
937379533,937379537,4,23113,937379536,30,3,937379534,32,1,,878624,2,0.07142857132529201,1.445911390618449e-09
937657069,937657073,4,349,937657072,30,3,937657070,32,1,,601088,2,0.07142857132532399,1.4454637486949202e-09
487557223,487557227,4,20173,487557225,30,2,487557224,32,1,,455054,1,0.07142857132604452,1.435376262293176e-09
494222497,494222501,4,18787,494222500,30,3,494222499,32,2,,706508,1,0.0714285713274958,1.415058292764116e-09
497180023,497180027,4,3343,497180025,30,2,497180024,32,1,,243782,1,0.07142857132812708,1.4062204733988898e-09
966685453,966685457,4,19753,966685456,30,3,966685454,32,1,,1831184,2,0.07142857132857205,1.3999907899631132e-09
