left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
4914223,4914227,4,19333,4914226,16,3,4914225,18,2,,18614,1,0.1428571296500063,9.244995546886518e-08
5031907,5031911,4,16897,5031909,16,2,5031908,18,1,,35090,1,0.14285712997866673,9.014933244344551e-08
5153899,5153903,4,18769,5153901,16,2,5153900,18,1,,12626,1,0.1428571303029864,8.78790946678976e-08
5301223,5301227,4,15943,5301226,16,3,5301225,18,2,,30254,1,0.14285713067409267,8.528135087004788e-08
10366207,10366211,4,5857,10366210,16,3,10366208,18,1,,8630,2,0.1428571309137341,8.360386094530274e-08
5450299,5450303,4,14869,5450301,16,2,5450300,18,1,,20618,1,0.14285713102850628,8.280045560304931e-08
5594899,5594903,4,9319,5594901,16,2,5594900,18,1,,26738,1,0.14285713135363642,8.052454458784557e-08
5612947,5612951,4,27367,5612949,16,2,5612948,18,1,,8690,1,0.14285713139300138,8.024898989766886e-08
10901323,10901327,4,433,10901326,16,3,10901324,18,1,,34922,2,0.14285713153528,7.925303946443311e-08
10909963,10909967,4,9073,10909966,16,3,10909964,18,1,,26282,2,0.14285713154479907,7.918640609894116e-08
11033899,11033903,4,12889,11033902,16,3,11033900,18,1,,8426,2,0.14285713167965408,7.824242098664062e-08
11124523,11124527,4,13423,11124526,16,3,11124524,18,1,,51122,2,0.14285713177629877,7.756590814089752e-08
11171203,11171207,4,43,11171206,16,3,11171204,18,1,,4442,2,0.14285713182544835,7.722186112779643e-08
5860243,5860247,4,4393,5860245,16,2,5860244,18,1,,10682,1,0.142857131907155,7.664991463762764e-08
11407003,11407007,4,25633,11407006,16,3,11407004,18,1,,78314,2,0.1428571320673777,7.552835556978725e-08
11558923,11558927,4,27403,11558926,16,3,11558924,18,1,,48722,2,0.14285713221785068,7.447504479785041e-08
6054487,6054491,4,18457,6054490,16,3,6054489,18,2,,31598,1,0.1428571322805925,7.403585211562816e-08
6113827,6113831,4,17737,6113829,16,2,6113828,18,1,,1898,1,0.14285713238978293,7.327151907432497e-08
6115099,6115103,4,19009,6115101,16,2,6115100,18,1,,626,1,0.14285713239209952,7.325530293478269e-08
6177967,6177971,4,21817,6177970,16,3,6177969,18,2,,87038,1,0.1428571325053709,7.246240318892208e-08
6213787,6213791,4,27607,6213790,16,3,6213789,18,2,,51218,1,0.1428571325688488,7.201805796164254e-08
6241243,6241247,4,25033,6241245,16,2,6241244,18,1,,23762,1,0.14285713261699273,7.168105042865139e-08
6293843,6293849,6,17573,6293845,16,2,6293844,18,1,,61592,1,0.14285713270801725,7.104387877987508e-08
6328099,6328103,4,21799,6328101,16,2,6328100,18,1,,27338,1,0.14285713276645629,7.063480556013249e-08
12272383,12272387,4,20143,12272386,16,3,12272384,18,1,,54734,2,0.1428571328731394,6.9888023812581e-08
6404003,6404009,6,7613,6404005,16,2,6404004,18,1,,1952,1,0.14285713289364277,6.974450017516179e-08
12300307,12300311,4,18037,12300310,16,3,12300308,18,1,,26810,2,0.14285713289719193,6.971965604840594e-08
12419899,12419903,4,17509,12419902,16,3,12419900,18,1,,19826,2,0.14285713299893965,6.900742199889012e-08
6530899,6530903,4,14389,6530901,16,2,6530900,18,1,,7346,1,0.1428571330994508,6.83038439142081e-08
6561883,6561887,4,15343,6561885,16,2,6561884,18,1,,89354,1,0.14285713314845316,6.796082741011847e-08
6603007,6603011,4,26437,6603009,16,2,6603008,18,1,,48230,1,0.14285713321275817,6.75106923697655e-08
12797299,12797303,4,4519,12797302,16,3,12797300,18,1,,26258,2,0.14285713330716465,6.684984699134591e-08
12831487,12831491,4,8677,12831490,16,3,12831488,18,1,,6398,2,0.14285713333416217,6.666086438400501e-08
6706099,6706103,4,9409,6706101,16,2,6706100,18,1,,7178,1,0.14285713337037942,6.640734362406422e-08
12954763,12954769,6,11833,12954766,16,3,12954764,18,1,,55680,2,0.14285713343028839,6.59879808573294e-08
6864127,6864131,4,17287,6864129,16,2,6864128,18,1,,5510,1,0.14285713360249996,6.478249980901299e-08
6957619,6957623,4,20689,6957622,16,3,6957621,18,2,,48986,1,0.1428571337346991,6.385710582534901e-08
6992467,6992471,4,25507,6992470,16,3,6992469,18,2,,14138,1,0.14285713378303955,6.351872272603035e-08
13556681,13556687,6,13151,13556685,16,4,13556683,18,2,,66794,2,0.14285713387375476,6.288371623419667e-08
7107643,7107647,4,20563,7107645,16,2,7107644,18,1,,26594,1,0.14285713393932387,6.242473249429284e-08
7114699,7114703,4,27619,7114701,16,2,7114700,18,1,,19538,1,0.14285713394872857,6.235889959960164e-08
7153423,7153427,4,6283,7153426,16,3,7153425,18,2,,12902,1,0.14285713400000133,6.19999902529145e-08
14005843,14005847,4,11863,14005846,16,3,14005844,18,1,,139274,2,0.1428571341790721,6.074649494536291e-08
7382779,7382783,4,25429,7382782,16,3,7382781,18,2,,10178,1,0.1428571342922862,5.99539962120588e-08
14182963,14182967,4,8803,14182966,16,3,14182964,18,1,,7322,2,0.14285713429398572,5.994209950621612e-08
7385683,7385687,4,28333,7385685,16,2,7385684,18,1,,7274,1,0.14285713429586555,5.992894069883905e-08
14338699,14338703,4,14389,14338702,16,3,14338700,18,1,,48146,2,0.14285713439260528,5.9251762607459595e-08
7474283,7474289,6,26843,7474285,16,2,7474284,18,1,,38792,1,0.1428571344037246,5.917392731369378e-08
7498867,7498871,4,21397,7498869,16,2,7498868,18,1,,14210,1,0.14285713443318593,5.896769805779914e-08
7695007,7695011,4,7327,7695010,16,3,7695009,18,2,,16718,1,0.14285713466127503,5.7371074335677035e-08
7735099,7735103,4,17389,7735101,16,2,7735100,18,1,,43418,1,0.14285713470642558,5.7055020485918844e-08
7805467,7805471,4,27697,7805469,16,2,7805468,18,1,,17738,1,0.1428571347845149,5.6508395296361895e-08
15021823,15021827,4,6823,15021826,16,3,15021824,18,1,,9302,2,0.1428571348002896,5.639797229228807e-08
15053299,15053303,4,8269,15053302,16,3,15053300,18,1,,8858,2,0.14285713481815465,5.62729169928389e-08
15079699,15079703,4,4639,15079702,16,3,15079700,18,1,,44618,2,0.14285713483307916,5.616844545031088e-08
15239299,15239303,4,14089,15239302,16,3,15239300,18,1,,25346,2,0.142857134922169,5.554481652403356e-08
8024839,8024843,4,6829,8024842,16,3,8024841,18,2,,1046,1,0.14285713501888364,5.48678140699366e-08
15440683,15440687,4,5263,15440686,16,3,15440684,18,1,,12074,2,0.1428571350318717,5.477689768440544e-08
8070523,8070527,4,22483,8070526,16,3,8070525,18,2,,12122,1,0.14285713506603503,5.453775431263355e-08
8150971,8150977,6,12841,8150973,16,2,8150972,18,1,,11472,1,0.14285713514773835,5.3965831137148283e-08
8162047,8162051,4,23917,8162049,16,2,8162048,18,1,,398,1,0.142857135158857,5.388800050631917e-08
15812899,15812903,4,17119,15812902,16,3,15812900,18,1,,99218,2,0.14285713522704868,5.3410658784613956e-08
15987523,15987527,4,11563,15987526,16,3,15987524,18,1,,20474,2,0.14285713531538557,5.279230053112374e-08
16261099,16261103,4,14869,16261102,16,3,16261100,18,1,,133298,2,0.14285713544984424,5.1851089866161735e-08
8515627,8515631,4,17137,8515630,16,3,8515629,18,2,,51698,1,0.14285713549811008,5.1513229015753856e-08
16610563,16610567,4,3973,16610566,16,3,16610564,18,1,,27674,2,0.14285713561495839,5.0695290854108086e-08
8675323,8675327,4,26683,8675326,16,3,8675325,18,2,,44882,1,0.14285713564197655,5.0506163695729376e-08
16669483,16669487,4,2833,16669486,16,3,16669484,18,1,,66794,2,0.14285713564209312,5.0505347681806276e-08
8710699,8710703,4,1999,8710701,16,2,8710700,18,1,,9506,1,0.14285713567310765,5.028824601183148e-08
16780723,16780727,4,23983,16780726,16,3,16780724,18,1,,21074,2,0.14285713569278768,5.015048576417771e-08
17045923,17045927,4,18913,17045926,16,3,17045924,18,1,,2714,2,0.14285713581089188,4.9323756412533746e-08
17278207,17278211,4,10957,17278210,16,3,17278208,18,1,,2438,2,0.1428571359112658,4.862113889281263e-08
9003773,9003779,6,24803,9003777,16,4,9003776,18,3,,2222,1,0.14285713592131355,4.855080470989039e-08
9004939,9004943,4,25969,9004942,16,3,9004941,18,2,,1058,1,0.1428571359222668,4.854413204746779e-08
17400283,17400287,4,12913,17400286,16,3,17400284,18,1,,47042,2,0.14285713596290894,4.825963695331838e-08
9113899,9113903,4,14809,9113901,16,2,9113900,18,1,,458,1,0.14285713601031746,4.7927777302447814e-08
9226159,9226163,4,6949,9226162,16,3,9226161,18,2,,21518,1,0.14285713609879047,4.7308466255557866e-08
17748763,17748767,4,1033,17748766,16,3,17748764,18,1,,34322,2,0.14285713610630002,4.7255899415787914e-08
9238699,9238703,4,19489,9238701,16,2,9238700,18,1,,8978,1,0.14285713610853468,4.7240256817460155e-08
18048523,18048529,6,493,18048526,16,3,18048524,18,1,,39480,2,0.14285713622507612,4.642446671532243e-08
