scale,vector_mode,candidate_domain,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,selected_csr,min_tie_count,candidate_count,vector_length_used,failure_mode
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999577,999999999999599,999999999999643,999999999999600,-43,0,3,106,22,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999577,999999999999599,999999999999643,999999999999643,0,1,2,6,22,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999577,999999999999599,999999999999643,999999999999600,-43,0,3,128,22,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999577,999999999999599,999999999999643,999999999999643,0,1,2,7,22,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999521,999999999999551,999999999999571,999999999999581,10,6,1,98,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999521,999999999999551,999999999999571,999999999999571,0,9,1,6,128,correct
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999521,999999999999551,999999999999571,999999999999581,10,6,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999521,999999999999551,999999999999571,999999999999571,0,9,1,8,128,correct
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999521,999999999999551,999999999999571,999999999999552,-19,0,1,98,30,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999521,999999999999551,999999999999571,999999999999571,0,2,2,6,30,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999521,999999999999551,999999999999571,999999999999552,-19,0,1,128,30,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999521,999999999999551,999999999999571,999999999999571,0,2,4,8,30,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999409,999999999999421,999999999999491,999999999999499,8,7,1,116,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999409,999999999999421,999999999999491,999999999999521,30,12,1,5,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999409,999999999999421,999999999999491,999999999999499,8,7,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999409,999999999999421,999999999999491,999999999999521,30,12,1,5,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999409,999999999999421,999999999999491,999999999999422,-69,0,3,116,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999409,999999999999421,999999999999491,999999999999491,0,1,2,5,12,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999409,999999999999421,999999999999491,999999999999422,-69,0,3,128,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999409,999999999999421,999999999999491,999999999999491,0,1,2,5,12,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999353,999999999999361,999999999999389,999999999999439,50,8,1,120,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999353,999999999999361,999999999999389,999999999999439,50,8,1,7,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999353,999999999999361,999999999999389,999999999999439,50,8,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999353,999999999999361,999999999999389,999999999999439,50,8,1,7,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999353,999999999999361,999999999999389,999999999999362,-27,0,7,120,8,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999353,999999999999361,999999999999389,999999999999389,0,1,5,7,8,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999353,999999999999361,999999999999389,999999999999362,-27,0,7,128,8,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999353,999999999999361,999999999999389,999999999999389,0,1,5,7,8,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999283,999999999999307,999999999999353,999999999999313,-40,8,2,104,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999283,999999999999307,999999999999353,999999999999331,-22,8,1,7,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999283,999999999999307,999999999999353,999999999999313,-40,8,2,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999283,999999999999307,999999999999353,999999999999331,-22,8,1,9,128,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999283,999999999999307,999999999999353,999999999999308,-45,0,1,104,24,selected_too_early
