anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,interior_prime_offsets,structural_status,structural_reasons,exact_status,exact_reasons
19,24,43,25,6,3,0,13,4 10 12 18 22,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,28,47,25,6,3,0,16,4 10 12 18 22 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,30,49,25,6,3,0,17,4 10 12 18 22 24 28,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
19,34,53,25,6,3,0,21,4 10 12 18 22 24 28,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,40,59,25,6,3,0,26,4 10 12 18 22 24 28 34,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,42,61,25,6,3,0,27,4 10 12 18 22 24 28 34 40,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,48,67,25,6,3,0,32,4 10 12 18 22 24 28 34 40 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,52,71,25,6,3,0,35,4 10 12 18 22 24 28 34 40 42 48,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,54,73,25,6,3,0,36,4 10 12 18 22 24 28 34 40 42 48 52,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,58,77,25,6,3,0,39,4 10 12 18 22 24 28 34 40 42 48 52 54,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
19,60,79,25,6,3,0,41,4 10 12 18 22 24 28 34 40 42 48 52 54,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,64,83,25,6,3,0,44,4 10 12 18 22 24 28 34 40 42 48 52 54 60,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,6,29,25,2,3,0,3,,SURVIVES,,SURVIVES,
23,8,31,25,2,3,0,4,6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,14,37,25,2,3,0,9,6 8,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,18,41,25,2,3,0,12,6 8 14,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,20,43,25,2,3,0,13,6 8 14 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,24,47,25,2,3,0,16,6 8 14 18 20,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,26,49,25,2,3,0,17,6 8 14 18 20 24,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
23,30,53,25,2,3,0,21,6 8 14 18 20 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,36,59,25,2,3,0,26,6 8 14 18 20 24 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
23,38,61,25,2,3,0,27,6 8 14 18 20 24 30 36,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
