scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,upper_bound,seed_least_factor_for_audit_only,seed_to_true_delta,least_factor_equals_seed_to_true_delta,selected_q,selected_delta_from_true,failure_mode,positions_checked,materialized_witness_count,did_evaluate,failure_reason,pure_pgs_eligible_input
1000000000000,materialized_witness_residue_advance,999999998867,999999998869,999999998939,999999998995,373501,70,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999998867,999999998869,999999998939,999999998995,373501,70,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999998867,999999998869,999999998939,999999998995,373501,70,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999998867,999999998869,999999998939,999999998995,373501,70,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999998867,999999998869,999999998939,999999998995,373501,70,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999998801,999999998813,999999998821,999999998929,14627,8,False,999999998821,0,correct,8,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999998801,999999998813,999999998821,999999998929,14627,8,False,999999998821,0,correct,8,0,True,,True
1000000000000,visible_integer_residue_advance,999999998801,999999998813,999999998821,999999998929,14627,8,False,999999998821,0,correct,8,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999998801,999999998813,999999998821,999999998929,14627,8,False,999999998821,0,correct,8,0,True,,True
1000000000000,materialized_witness_residue_advance,999999998801,999999998813,999999998821,999999998929,14627,8,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999998801,999999998813,999999998821,999999998929,14627,8,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999998801,999999998813,999999998821,999999998929,14627,8,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999998801,999999998813,999999998821,999999998929,14627,8,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999998801,999999998813,999999998821,999999998929,14627,8,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999998611,999999998623,999999998713,999999998739,70121,90,False,999999998639,-74,selected_too_early,16,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999998611,999999998623,999999998713,999999998739,70121,90,False,999999998639,-74,selected_too_early,16,0,True,,True
1000000000000,visible_integer_residue_advance,999999998611,999999998623,999999998713,999999998739,70121,90,False,999999998639,-74,selected_too_early,16,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999998611,999999998623,999999998713,999999998739,70121,90,False,999999998639,-74,selected_too_early,16,0,True,,True
1000000000000,materialized_witness_residue_advance,999999998611,999999998623,999999998713,999999998739,70121,90,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999998611,999999998623,999999998713,999999998739,70121,90,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999998611,999999998623,999999998713,999999998739,70121,90,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999998611,999999998623,999999998713,999999998739,70121,90,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999998611,999999998623,999999998713,999999998739,70121,90,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999998533,999999998537,999999998567,999999998661,410491,30,False,999999998551,-16,selected_too_early,14,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999998533,999999998537,999999998567,999999998661,410491,30,False,999999998551,-16,selected_too_early,14,0,True,,True
1000000000000,visible_integer_residue_advance,999999998533,999999998537,999999998567,999999998661,410491,30,False,999999998551,-16,selected_too_early,14,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999998533,999999998537,999999998567,999999998661,410491,30,False,999999998551,-16,selected_too_early,14,0,True,,True
1000000000000,materialized_witness_residue_advance,999999998533,999999998537,999999998567,999999998661,410491,30,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999998533,999999998537,999999998567,999999998661,410491,30,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999998533,999999998537,999999998567,999999998661,410491,30,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999998533,999999998537,999999998567,999999998661,410491,30,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999998533,999999998537,999999998567,999999998661,410491,30,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999998513,999999998521,999999998527,999999998641,77003,6,False,999999998527,0,correct,6,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999998513,999999998521,999999998527,999999998641,77003,6,False,999999998527,0,correct,6,0,True,,True
1000000000000,visible_integer_residue_advance,999999998513,999999998521,999999998527,999999998641,77003,6,False,999999998527,0,correct,6,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999998513,999999998521,999999998527,999999998641,77003,6,False,999999998527,0,correct,6,0,True,,True
1000000000000,materialized_witness_residue_advance,999999998513,999999998521,999999998527,999999998641,77003,6,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999998513,999999998521,999999998527,999999998641,77003,6,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999998513,999999998521,999999998527,999999998641,77003,6,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999998513,999999998521,999999998527,999999998641,77003,6,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999998513,999999998521,999999998527,999999998641,77003,6,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999998461,999999998479,999999998497,999999998589,999961,18,False,999999998497,0,correct,18,0,True,,True
